Label: 180206 G789 PRMT5 DR 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: G789																																																													
Passage: 11																																																													
Notes: 																																																													
Analysis Job: 180227 G789 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43138	0	21.71305	21.72503	30.52139	28.26514	26.7493	31.8773	28.29251	20.63812	29.56195	26.18681	35.65638	23.35996	19.6306	24.18324	34.63934	25.04697	27.51934	20.58851	23.51307	25.42865	33.26817	25.56844	30.87372	34.00117	28.53042	39.61729	39.23548	19.02841	33.26794	31.46287	19.99618	41.38961	24.77215	28.18466	33.89642	39.42311	22.61256	17.78078	30.24191	46.33376	40.71827	40.01986	19.29011	19.32975	25.58727	31.28448	37.48084	26.80039	21.01643	19.72028	20.91289	28.41813	27.51485	21.66729	18.36506	20.20524	25.38223	29.03588	32.31671	27.68339
43138.3333333333	8	22.95934	21.52188	30.70222	28.81105	28.89376	30.89041	27.91288	20.80199	29.73846	28.58527	36.85272	23.75571	19.66235	26.20955	35.75398	26.12267	25.45435	22.40233	23.72163	26.22888	34.74022	26.71232	33.48578	33.07454	29.8495	37.62962	42.24656	20.89194	33.14951	33.16561	21.30438	41.14751	26.69203	29.25588	34.35132	39.79462	24.00194	19.28121	33.65044	49.06549	42.20985	38.35752	19.97338	21.76969	26.95098	32.48138	37.51528	27.46368	21.48601	19.96329	22.84626	30.35593	29.31494	21.94521	19.31556	20.58694	26.32395	27.80738	30.76194	30.56051
43138.6666666667	16	24.25393	24.43587	34.80061	30.96503	29.71081	30.25033	31.69468	21.67029	31.35541	29.81933	40.69935	25.92375	21.33543	28.02085	37.49578	28.34013	28.49554	24.03982	26.11813	29.22519	39.46977	29.33397	34.87623	34.30198	32.78879	39.82444	41.28715	24.106	35.19911	33.6329	24.53368	43.77984	30.87836	31.87666	36.95205	42.9412	27.04859	22.57965	35.2963	49.39837	40.41299	40.44751	22.05449	24.02088	29.32768	34.85466	39.14383	29.90644	22.76121	24.21194	23.76877	30.65018	32.34309	21.59584	21.10376	22.03391	29.8079	31.28093	31.58813	33.09216
43139	24	24.37463	24.79576	34.08031	30.91232	30.54392	28.30406	31.15952	21.88555	35.56086	30.48426	41.84706	25.9322	21.89218	31.71846	40.26482	28.62479	31.10513	24.49826	27.81611	30.67403	40.56827	30.36463	34.1062	34.96043	31.48772	38.91697	43.43402	24.06716	32.22759	33.03019	24.90258	44.99786	31.17679	33.37709	38.12432	39.28625	29.00927	23.88375	38.08389	51.32106	41.5731	39.18021	22.5087	26.69022	29.81349	36.11897	35.76733	30.08845	22.23179	26.18135	25.09529	32.79742	30.18221	23.44097	22.56882	23.81553	29.64043	30.96328	30.32866	33.37215
43139.3333333333	32	23.28864	28.31974	38.73209	31.87431	30.19906	30.72178	34.30814	22.33479	35.88991	33.62852	45.29475	30.54047	23.96527	33.50887	43.37911	32.85207	30.55266	30.11218	29.82727	34.34532	44.70153	33.12168	33.16489	37.36842	35.42126	38.12646	43.04496	27.00664	34.59679	34.01209	26.65699	46.13795	34.98912	35.27184	40.57413	42.83517	31.91126	28.15553	40.91125	49.64448	42.92595	41.31464	25.48293	29.60539	30.95761	38.01061	38.36146	30.73668	22.02159	30.69613	27.4488	34.95943	32.42788	24.23351	24.08571	26.81121	32.56368	34.60618	30.92274	36.23442
43139.6666666667	40	29.36077	34.27883	42.71895	35.14913	35.40532	32.57438	40.74577	25.49557	42.53802	37.49259	48.68021	34.25937	28.13753	41.60379	46.58644	37.40092	35.53378	33.39935	36.71569	39.91261	52.55962	38.31756	37.85119	41.26323	40.09494	42.38635	44.7273	32.48033	38.82696	37.95486	29.4585	49.18788	39.94779	40.59481	47.08476	44.64989	37.49694	33.64331	49.06871	53.92645	46.68179	43.49546	31.47987	31.16992	36.00057	41.52943	40.46707	33.22357	25.57794	36.97049	34.47447	38.1246	37.3908	28.5413	29.42375	29.90433	36.73945	39.76866	34.70654	38.20228
43140	48	29.63842	37.35309	47.98828	39.09242	34.70197	32.20211	38.68863	26.99452	44.19643	40.35737	50.91353	37.72704	28.54315	43.4038	49.39084	41.56281	36.25851	38.02661	37.72363	40.92825	50.50566	40.68976	36.73441	41.99341	41.79502	43.0062	44.11938	35.4215	39.80104	41.31949	32.38276	52.25901	43.39379	41.8026	49.21794	46.46492	39.06392	35.90405	51.7572	56.82325	48.93148	46.39461	33.93796	32.97591	37.23756	46.19693	41.20319	34.9785	25.48222	38.97104	36.85374	41.20408	39.26589	29.48868	31.60208	31.76339	38.1269	42.06173	36.11076	41.05524
43140.3333333333	56	35.06809	40.65359	51.37835	40.57309	40.35974	35.10206	42.23904	30.0311	50.7551	46.71676	54.5725	39.04046	33.20512	46.84005	53.56207	43.57675	41.0404	41.29671	42.30646	47.21836	56.19957	40.53874	39.89094	45.36601	44.37758	45.04562	47.82771	40.65233	42.62062	45.52487	36.05059	57.99567	48.2626	46.63468	52.76519	47.01329	43.54932	39.73379	56.11198	57.38003	49.75965	49.88649	38.7951	34.61336	40.01041	48.34157	42.00452	40.18569	27.23413	42.90036	39.0817	44.2463	42.8999	32.85221	34.93721	35.19683	41.26601	44.77036	38.52833	43.98105
43140.6666666667	64	38.0095	45.85443	55.25993	48.2142	39.25653	38.53279	45.13407	35.15443	56.02253	50.00458	56.20893	43.37926	35.47419	50.55615	57.02006	48.10156	42.9705	46.87423	47.84581	49.2329	60.2449	46.41998	43.96092	50.99446	50.33555	49.30478	47.93487	46.96306	46.90608	47.74209	42.86475	59.52906	55.21078	49.93752	59.1492	50.67131	48.06737	46.87012	59.97121	60.7053	53.27587	52.44553	42.92696	39.81031	46.00801	52.35991	46.44217	41.84626	29.48286	47.07745	46.25388	48.98976	43.75176	35.75267	41.23151	41.46671	48.71708	52.07318	41.56483	46.98789
43141	72	41.46529	51.10521	59.93535	50.17562	41.86184	43.07685	49.21642	36.1969	55.19501	51.5001	59.22387	46.33398	41.26825	55.36419	58.5147	51.47964	50.79448	51.3011	50.74198	53.67482	64.71452	48.21182	48.62552	51.7045	50.28598	49.18485	49.76352	48.90189	46.7765	49.09315	45.29412	62.34294	57.41175	53.0975	57.81899	53.80583	50.60434	47.22072	64.88017	62.17116	53.13313	56.68269	46.95262	39.06481	47.35038	51.42177	47.07574	48.05814	30.81296	52.29862	47.85669	52.19067	50.42162	38.42339	38.79197	43.08058	49.17517	53.7025	40.40825	52.00272
