Label: 180309 G837 PRMT5 DR 																																																													
Metric: Phase Object Confluence (Percent)																																																													
Cell Type: G837																																																													
Passage: 10																																																													
Notes: 																																																													
Analysis Job: 180314 G837 DR PRMT5																																																													

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
43169	0	3.938249	3.009125	3.949785	4.376622	3.754559	4.550159	6.767672	5.100264	5.985145	6.357136	6.517981	6.620006	5.870668	6.793835	5.953059	5.266409	6.547786	6.561152	5.229349	7.103607	6.656339	6.84794	7.211573	5.661454	5.775464	6.543607	6.2309	5.988547	6.306003	7.345028	3.771396	2.483318	3.148917	3.580228	3.777976	3.614887	5.905379	5.879009	5.953992	5.120399	5.616572	7.502987	5.668293	7.292858	7.366199	8.524467	5.594951	6.223388	6.316779	5.700637	7.223695	6.661175	5.843642	5.653321	6.760506	6.207069	6.074028	7.107699	6.976074	7.848955
43169.3333333333	8	4.541093	3.6167	4.861864	5.3187	4.303921	5.432035	8.211412	6.112711	7.468277	7.680858	8.33347	7.834448	7.173493	8.137744	7.480296	6.187417	8.242429	8.304183	6.485082	8.735148	8.459051	8.307533	9.058148	7.28816	7.216356	7.995481	7.733252	7.488291	7.932745	8.894333	4.376157	2.87346	3.773054	4.472656	4.413544	4.57235	7.342299	7.180592	7.0375	6.016212	6.944232	9.330082	7.029419	8.96049	9.066643	10.35716	6.912336	7.729868	7.621659	6.944317	8.911706	8.192106	7.038278	7.149007	8.225539	7.653589	7.56576	8.89214	8.490463	9.827326
43169.6673611111	16.0166666666667	5.215983	3.992906	5.479975	6.553537	4.598357	6.628397	9.896057	7.172924	8.917647	9.343517	9.637263	9.10094	8.758755	9.877718	8.788838	7.956057	9.583057	9.989223	7.938753	10.20483	10.12831	10.44217	10.91217	8.534793	8.539713	9.586994	9.057146	9.137481	9.571072	10.63565	4.994836	3.509062	4.584784	5.123697	5.239382	5.285128	8.443612	8.447256	8.452833	7.023288	8.090979	10.78892	8.40626	10.86822	11.03257	11.30279	8.038102	9.287929	9.221995	8.371946	10.62046	10.22531	8.232602	8.534828	9.421953	8.887616	9.102373	10.56159	9.922789	11.70509
43170	24	6.185154	4.740809	6.476517	7.622868	5.393025	7.713341	11.6934	8.444718	10.65944	11.35121	11.1966	11.16331	10.62861	11.76184	10.47614	9.73371	12.29424	12.59741	9.308324	12.14217	12.3348	12.46759	13.22961	10.14596	10.23852	11.60269	11.05532	11.14264	11.81452	13.04991	5.934512	4.42242	4.982126	6.050179	5.84751	6.000877	10.13057	10.13105	10.43001	8.181918	9.577756	13.05814	10.08111	12.66309	13.07476	13.69263	9.747803	10.83741	11.02177	9.995804	12.53937	12.41353	9.986512	9.806499	12.069	10.78743	10.93434	12.90503	11.76765	14.37767
43170.375	33	7.272152	5.174849	7.748517	8.675673	5.91018	9.005011	13.49805	9.717513	12.72843	13.49468	13.21338	13.15866	13.19066	14.33844	12.23316	11.49689	14.77659	15.29352	11.26078	14.28687	15.27537	15.18521	15.82069	12.47125	11.69305	13.59615	13.40353	13.1734	13.97817	15.18426	6.868299	5.103959	5.907209	7.011805	6.723619	7.236319	11.65679	11.77375	12.30111	9.476265	11.44818	15.60991	11.64677	15.82636	16.01844	14.98933	11.45548	13.20986	12.85624	11.98804	15.34137	14.569	12.20327	12.23174	14.13517	12.89852	13.43014	15.45618	13.94766	16.76208
43170.6673611111	40.0166666666667	8.125673	5.551831	8.046839	9.835685	6.774114	9.822164	15.56148	11.10705	14.42739	15.0698	14.72858	14.47645	14.75559	16.25038	13.77235	13.17007	16.90328	17.3241	12.9664	15.92346	17.46303	16.64409	17.67286	13.44306	13.38666	15.79978	15.31264	14.29699	15.11275	16.7829	7.442493	5.942559	6.583015	7.511363	7.346651	8.127297	12.89132	13.26229	14.24918	10.26544	12.64155	16.42245	13.3447	18.16259	18.63542	17.75257	13.07197	14.8948	14.63491	13.69194	17.67804	17.20275	13.89471	13.96683	16.17153	15.58606	15.60001	17.7406	16.18429	20.41723
43171	48	9.096209	6.075272	9.219007	11.41264	7.792726	11.13378	17.70883	12.87729	16.64919	17.26428	17.33513	17.12064	17.63188	19.80961	17.04242	14.98839	19.67786	19.98382	15.52332	18.85165	20.24138	19.37771	21.00777	15.98269	15.93477	19.00035	18.43788	16.91895	18.51322	20.14946	8.931877	7.492797	7.929134	9.343051	8.683963	9.475367	15.80884	16.48551	17.27396	12.08668	15.38617	20.01005	15.59183	22.07872	23.22631	20.55502	15.47098	18.66655	18.11006	16.42592	21.83613	20.61733	16.42668	17.02942	19.85817	18.72527	19.39942	21.72864	20.14392	24.48574
43171.3333333333	56	9.749288	7.078221	10.0039	12.50333	8.546933	12.58776	20.00017	14.26254	18.86938	19.25179	19.32482	19.0854	20.0099	22.26492	18.41671	17.62662	22.20458	23.54517	17.49639	21.54602	23.22825	21.87344	23.97762	18.05212	18.90941	22.16659	21.92439	19.24465	21.4024	22.33178	10.24971	8.1838	9.416118	10.20016	9.771687	10.43198	18.58634	19.73428	20.41523	14.45228	17.67873	22.1896	18.87235	25.68601	27.56372	23.73534	18.43204	21.35223	21.24392	19.90582	26.19817	24.53702	19.63004	20.21297	24.29081	22.0394	22.92981	25.66373	23.85294	28.99156
43171.6673611111	64.0166666666667	11.62705	8.182159	11.89159	15.22118	10.05469	15.26432	25.4529	17.28649	22.40092	23.21469	23.11961	21.94323	25.56097	26.58422	22.51243	20.61307	26.03529	27.17465	23.07209	27.75245	27.4002	25.05284	26.89066	21.73462	23.20374	28.34043	26.34007	23.52502	25.09283	26.55407	13.41766	10.6595	11.72017	12.60375	12.3046	13.47484	23.93654	25.05623	26.38729	17.50974	20.95561	26.42548	24.16262	32.54548	35.19555	29.77205	23.79566	26.53385	26.02585	25.62421	32.86757	30.27846	25.55558	25.69224	30.91012	28.27249	28.10325	32.19957	29.46229	35.30766
43172	72	11.42279	8.438639	12.51908	15.70299	10.71723	15.42471	24.98188	19.04264	23.14676	24.21574	23.04159	22.55523	24.88599	28.02862	24.32077	21.769	28.42919	27.94139	23.65407	28.81581	29.77367	26.64929	28.61254	22.86206	25.4386	29.45618	29.40158	24.26639	25.75914	27.94386	14.4204	12.22432	12.76157	13.61426	12.56664	14.21519	26.70172	27.75066	29.26444	19.00088	23.12053	27.04769	26.62912	36.18555	38.94397	30.69217	26.21012	28.67786	28.89918	28.5389	37.81559	33.08297	28.66357	28.62436	35.21192	33.02593	32.19273	36.3133	32.96122	40.51755
