Label: G895																																																													
Metric: G523 Confluence (Percent																																																													
Cell Type: G895																																																													
Passage: 1																																																													
Notes: 																																																													
Analysis Job: G895 confluence PRMT5i dose response																																																													

Date Time	Elapsed	B2	C2	D2	B3	C3	D3	B4	C4	D4	B5	C5	D5	B6	C6	D6	B7	C7	D7	B8	C8	D8	B9	C9	D9	B10	C10	D10	B11	C11	D11	E11	F11	G11	E2	F2	G2	E3	F3	G3	E4	F4	G4	E5	F5	G5	E6	F6	G6	E7	F7	G7	E8	F8	G8	E9	F9	G9	E10	F10	G10
43113.3333333333	80	16.11871	16.59265	16.60242	16.38311	17.02909	19.09754	18.01781	17.87415	20.45241	24.41054	20.29825	24.79726	19.51538	22.09817	22.82725	21.74023	20.76479	23.14152	26.24869	21.01383	26.41917	25.79898	26.40052	23.71486	22.26643	25.38955	24.97791	21.68475	21.4412	23.33657	23.17045	23.29081	20.1296	17.1584	16.04149	14.43361	14.65393	17.10074	16.39819	15.23013	16.7623	13.99035	16.67273	16.80696	15.36681	18.49304	15.6756	8.470572	20.03901	17.94255	17.02419	17.5942	20.05851	18.65386	17.30651	20.33567	18.39626	21.14119	22.60026	22.11863
43113.6673611111	88.01666667	16.22589	16.91849	16.14943	16.18419	17.16453	19.4534	17.93545	18.81656	21.62864	25.44255	21.26694	26.23453	20.92833	23.7806	24.80401	23.38099	22.94448	25.26102	28.48176	23.26182	28.25429	28.6406	28.19862	26.27139	24.69406	28.31965	28.31031	24.05993	24.2884	25.71953	26.12592	26.40813	22.16601	17.82549	16.35492	14.43353	14.94916	17.19325	15.51023	15.31882	16.63938	14.46364	15.92826	17.97193	15.82841	19.09951	15.96506	8.357009	20.2682	17.72051	18.25963	18.50048	19.49359	19.59483	18.25742	21.37674	19.85034	23.16536	25.03167	23.94208
43114	96	16.45968	17.52533	16.52698	16.30448	17.14873	19.90859	18.10067	19.7654	22.39676	27.01414	21.92807	27.41847	22.56961	25.76994	26.55502	25.45607	24.37923	27.20623	30.39306	26.842	31.43849	31.28514	31.66173	29.50408	26.83392	30.95784	31.24745	26.4555	26.78408	28.87177	30.31887	29.1659	24.81606	18.22996	16.3881	14.61048	14.98883	17.61897	15.9749	15.33175	16.87696	13.8003	16.93116	17.96685	15.49023	19.58449	16.63789	7.575136	21.29568	18.24697	18.07343	19.34042	21.1951	20.77657	19.27803	22.84369	21.04569	24.95484	27.14882	25.68435
43114.3333333333	104	16.97483	17.08176	16.80478	16.24283	17.35556	20.3979	18.77552	19.22864	23.38533	28.49899	22.74413	28.85587	24.14043	26.89829	28.26507	27.09991	25.69109	29.14295	32.74436	29.06497	33.50963	34.38	34.68418	32.55051	29.89372	34.53605	35.45669	29.84081	30.2629	31.53868	32.08393	31.49791	27.34941	18.5125	16.32788	14.34219	15.04319	17.9401	16.99721	15.80897	16.74755	14.56422	16.87151	18.56748	15.71938	20.15798	16.90178	7.908412	21.53801	18.29643	19.01734	20.08526	21.72555	21.12628	19.97401	24.38975	21.55226	27.78217	30.23201	28.61597
43114.6673611111	112.0166667	16.45673	17.60033	17.63208	16.27195	17.60076	20.33507	19.50736	19.89231	23.78274	28.91904	23.38515	29.80148	24.94529	28.54177	30.01388	28.37986	29.33972	31.74355	36.30538	32.20699	36.27485	37.28596	37.25699	35.48424	32.81001	38.6361	38.33381	32.24901	32.49119	34.59236	35.03286	36.04662	29.87656	18.37806	16.21772	14.48512	15.26452	18.14396	16.09632	15.8172	17.66836	14.23662	16.71728	18.03615	15.43062	20.13499	16.99272	8.017605	22.41555	18.60971	19.15173	21.00375	22.04784	22.00581	21.69266	24.7936	21.95653	30.36771	32.81464	30.43814
43115	120	17.74702	17.51523	17.86217	16.78886	17.73665	20.78339	19.9132	21.01262	23.85541	30.57853	24.71156	30.74281	25.42563	30.69523	32.05225	31.00812	31.32684	35.13647	40.77743	35.1032	39.51387	41.25975	41.28069	39.77475	35.79092	41.01288	41.86319	34.74802	36.26811	38.10833	38.29731	38.67818	33.05257	18.49071	16.31721	14.27624	16.08368	17.93209	16.43385	15.63923	18.41481	14.12943	17.44256	18.82432	15.5229	20.46305	16.97944	7.831529	22.28901	19.13033	19.36322	21.29552	21.76805	21.91743	22.96474	26.99093	22.68279	34.23121	36.0154	34.02523
43115.3333333333	128	17.83673	18.31052	17.13156	17.36388	17.84376	20.62118	20.87417	21.10497	24.11866	31.48294	25.92132	31.55547	27.37303	33.13961	34.22752	33.64341	33.81695	38.14806	44.67564	39.49277	43.63387	45.27115	45.93727	42.83541	39.79475	44.33279	46.44533	38.05502	40.9586	41.9473	43.04721	42.97883	36.23392	18.54798	15.60593	13.7935	15.28775	17.72871	16.05291	15.38123	18.06886	13.85995	17.68724	18.40792	15.21094	20.55736	16.84012	8.002062	23.25517	19.88688	19.51662	21.33809	22.20394	22.34421	24.77051	27.48385	23.59528	37.10329	40.64938	36.73097
43115.6673611111	136.0166667	18.3516	18.4608	17.57476	17.78998	18.09659	21.64936	20.9996	21.98105	24.97301	33.92305	27.77753	34.76727	29.89276	36.50758	37.459	36.53035	36.56656	41.39652	43.9985	42.12728	46.31236	48.86642	49.402	46.57642	44.81102	48.3215	50.90916	42.88288	46.6365	46.08775	48.35198	49.22849	39.69506	20.7033	17.40813	15.34866	17.50154	19.34865	17.63092	16.55523	20.22248	13.99278	20.57654	19.93432	13.80635	22.8719	18.99373	8.636231	25.50232	21.34994	16.33341	24.99434	24.3121	18.23561	27.65824	30.50596	26.63769	41.20358	45.49403	41.35964
43116	144	18.42396	18.25965	17.69918	17.77508	18.88423	21.78411	21.92801	22.19703	25.41127	34.09163	28.5441	33.25628	30.60846	37.37366	38.13574	38.06886	38.97643	42.5516	47.09878	44.78165	48.56141	52.18604	52.50183	50.9031	48.21699	53.46555	54.70171	46.29041	49.30774	50.312	52.27685	53.52037	43.16193	20.01321	17.13239	15.07783	16.78012	19.26529	17.37304	16.26045	19.7206	13.77941	20.69148	19.21103	12.29049	23.60028	19.51184	8.059308	25.56309	21.58635	15.42858	25.02742	25.43649	17.15224	28.11464	32.2807	28.1479	44.99255	48.53636	43.06549
43116.3333333333	152	18.36808	17.99705	17.81663	17.68728	18.65341	21.79931	22.1053	22.26438	26.17393	34.09716	29.36318	34.38289	32.97345	38.83776	41.09817	40.61327	43.21105	45.68606	49.69983	49.11485	51.49287	55.00623	56.64782	53.958	51.57625	56.50936	59.6179	49.51859	53.90345	53.92293	56.05318	56.76262	45.71178	20.33725	16.81827	14.97501	16.58046	18.58119	17.01037	16.17011	19.88292	13.287	21.62622	19.35319	12.09414	22.57462	19.12357	8.330656	26.00548	21.91487	15.3393	25.50014	24.77012	17.38143	30.12232	33.35105	28.40724	46.95844	51.82471	46.00044
43116.6673611111	160.0166667	17.55027	17.5575	17.182	17.34158	18.56667	20.54732	21.50486	23.01185	25.70398	34.1916	28.93911	35.32113	33.74677	40.33193	43.40892	42.83717	46.30431	50.68319	52.53284	53.35987	56.62043	58.25762	62.27255	60.73554	56.63653	62.41714	65.98069	54.1089	59.01423	59.66581	60.39053	60.94235	50.68092	19.29386	16.1412	14.67522	16.18586	17.6647	16.20633	16.27887	20.25171	12.94595	21.01524	18.47521	11.6859	22.54208	19.00969	8.284307	25.92128	21.45441	15.52116	25.95121	25.00418	18.32188	31.80646	33.81332	28.86346	51.69279	55.53278	49.16763
43117	168	17.57351	17.22473	17.22069	17.21159	19.31099	20.9825	22.91635	23.61653	27.4581	35.28603	29.82147	36.72023	35.41344	42.55605	45.99424	46.37875	48.87289	54.19274	56.39728	57.88	59.69403	62.73929	64.94163	63.54085	60.34734	66.53813	69.52104	57.99807	63.34062	63.35257	65.59175	65.61661	54.97739	18.93266	16.02816	14.34723	16.4182	17.32822	16.10565	16.23053	19.65812	12.67474	20.96421	18.48932	11.47945	22.86016	19.17286	8.668749	26.07235	22.43248	16.06461	26.20377	26.6712	18.48654	33.55627	35.66171	30.64924	55.31103	59.61598	53.21585
43117.3333333333	176	17.16213	16.88287	16.47136	16.99849	19.46478	20.90593	22.43073	23.67457	26.94097	35.54278	30.91322	37.32032	37.04607	44.95199	47.98714	48.90951	50.96027	56.33765	59.4325	60.61427	63.06991	65.63266	68.62564	67.34958	64.18844	70.72565	73.55186	61.98231	68.71668	68.16762	70.9682	71.00058	58.20601	18.9545	15.8755	13.92656	15.92372	16.97492	16.80506	15.31794	20.14117	12.47574	20.52985	17.9631	11.67727	22.93834	18.53217	8.434428	27.03278	22.4409	15.8429	26.16217	26.72773	18.80412	34.14928	38.03746	32.34086	57.85378	63.10541	55.9215
43117.6673611111	184.0166667	17.1536	17.24832	16.39366	17.32674	18.86211	20.93195	23.32943	23.65968	28.26242	36.41833	32.28324	38.73718	38.06459	46.90582	50.43047	52.17352	53.85072	60.09354	62.65224	65.79749	67.40869	70.22329	72.78734	71.51262	69.13646	75.42867	77.45067	66.75004	73.71071	73.31074	75.85168	76.23689	63.49739	18.72821	15.52983	14.05915	15.70186	16.66729	16.27383	15.59126	19.53904	12.25494	20.40114	17.70428	10.89592	22.67617	17.87743	8.385779	25.65052	21.7791	15.91191	26.46705	26.7384	18.14978	35.04488	38.83228	32.44215	62.66507	68.08626	60.17496
43118	192	17.30373	16.92807	16.42521	17.29762	19.38269	20.4365	23.68505	23.36658	29.2091	37.70576	32.58617	40.38232	41.51055	50.47847	52.82919	54.9698	58.00524	63.91642	66.79082	70.96039	72.44932	75.16645	77.95474	76.541	73.7975	80.63921	82.42194	71.43497	79.33203	78.35289	80.49161	81.40677	68.41309	18.47396	14.86601	14.12329	15.41936	16.54611	16.26554	15.40845	18.83995	12.60332	20.26238	17.71402	10.58987	21.89209	17.80575	7.947975	26.03085	22.60624	16.08062	26.53253	27.78814	17.92136	37.84573	40.68214	33.82753	66.91513	72.1885	64.80397
43118.3333333333	200	16.98597	16.64988	16.57854	16.83406	19.47616	20.46535	23.67529	23.01097	29.72179	39.22326	33.84629	41.82122	43.32321	52.48834	55.41336	58.17261	61.92774	67.67812	71.60515	76.05038	75.15698	78.72174	81.90934	81.32082	77.95129	83.5738	86.04343	76.18298	83.21859	83.2076	84.61743	84.55438	73.38348	17.7395	15.4091	13.34273	14.804	16.50029	15.95466	15.44378	18.59468	12.40143	20.6772	17.33382	10.63053	21.7083	17.69001	8.177408	26.48936	22.36513	16.15201	27.11735	26.45296	18.38327	39.36362	41.42952	33.74109	71.3149	76.32539	68.28188
43118.69375	208.65	16.24558	16.28799	16.63971	16.08852	19.69553	20.4736	23.86055	23.49079	29.32107	39.55748	34.11986	42.81205	45.72312	54.13395	58.61145	61.48446	64.43822	70.71296	74.33815	79.04927	78.41341	81.46781	84.78941	84.5634	82.08801	86.85378	88.98666	79.57839	86.53107	87.01256	87.58917	87.64307	77.91808	18.382	15.27915	14.17801	14.38845	16.46735	15.47116	14.85485	18.78222	12.43186	20.34655	17.5898	10.61519	21.0734	17.67345	8.415551	25.77077	21.38591	15.77044	27.48279	27.31855	18.66835	39.77562	44.0364	36.33084	74.08127	79.23599	71.94189
43119.0319444444	216.7666667	15.8583	15.46646	15.51483	16.79333	18.85399	20.46143	24.20643	23.20002	28.58916	40.24335	35.43766	43.75496	48.05669	56.96124	61.15745	64.5898	68.69152	74.65245	77.93554	82.54868	81.64117	84.55252	87.93958	87.14218	84.8237	89.1927	91.63784	83.51257	89.70362	89.17249	90.84673	90.86075	80.53205	17.74988	14.62198	13.80388	14.23174	15.95862	14.89245	14.66196	18.29054	11.89705	19.96304	17.74653	10.52175	21.68803	18.00327	7.581318	26.09782	21.65308	14.72325	28.01589	27.69826	18.90224	41.73334	45.0903	36.06582	78.54729	82.5043	75.31833
43119.3652777778	224.7666667	15.06634	15.58288	15.00019	16.64881	19.01993	20.10929	23.98261	23.33067	29.40348	41.54546	36.2057	44.25456	50.57367	59.9604	63.19048	67.14124	72.28244	77.85883	81.76152	86.01137	85.37617	86.72498	90.18239	89.53047	88.35289	92.71086	94.00853	87.18067	92.73556	92.35072	93.33234	92.81557	84.4241	17.08513	14.21065	13.63357	14.6054	15.4053	14.83783	14.40576	17.92325	11.32269	19.72145	16.73706	10.06985	21.10135	17.33249	7.153947	25.63676	21.69222	14.97347	28.10128	27.85075	18.46071	42.40541	46.5871	37.58396	82.54377	85.45659	77.87814
