Label: 171017 semi log dose response PRMT5i																																																											
Metric: Phase Object Confluence (Percent)																																																											
Cell Type: G523																																																											
Passage: 10																																																											
Notes: 																																																											
Analysis Job: 523 DR PRMT5i Patty 																																																											

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	D11	E11	F11	G11
43025.75	0	3.018381	3.223882	4.178945	3.807178	3.492829	3.35112	3.455338	3.328135	3.42909	3.714547	4.026546	3.292682	3.375245	3.517714	3.793966	3.175045	3.535899	3.507733	3.051468	3.820855	3.262599	3.734457	3.2091	3.751726	3.385417	3.927352	3.171626	3.273479	3.191278	3.407227	3.57351	3.378699	3.725236	3.451004	4.089266	3.433269	3.670528	3.033509	3.800235	4.143163	4.026252	4.08899	3.659804	3.574616	4.168687	4.991486	3.66362	4.090872	3.395571	3.391582	3.571784	4.264599	3.603939	4.01988	3.328912	3.869967	3.627753	3.204955
43026.0833333333	8	3.663033	3.830974	5.017148	4.091702	4.01204	3.788562	4.213362	4.026753	3.76252	4.026321	4.469496	3.818938	3.819248	4.272611	4.289034	3.634124	3.738049	3.931359	3.786023	4.424493	3.826294	4.398468	3.567691	4.177805	3.762209	4.229163	3.588984	3.779478	3.427829	3.818022	4.014544	3.727654	4.259176	3.713027	4.485573	3.970905	4.065919	3.402668	4.359975	4.551368	4.790043	4.419882	4.279865	4.2264	4.311208	4.911737	4.366831	4.71487	3.764333	4.25448	3.913019	4.816603	4.14748	4.240578	3.840576	4.385154	4.130989	3.578864
43026.4166666667	16	4.737183	4.687223	5.974092	4.891603	4.798021	4.36096	4.898751	4.6622	4.439343	5.099884	5.419464	4.483915	4.806034	5.215775	5.545148	4.487041	4.564043	4.747303	4.431159	5.032275	4.463797	5.200994	4.631444	4.967982	4.689071	5.115149	4.117415	4.512841	4.463849	4.661096	4.658194	4.39928	5.14746	4.466405	5.328059	4.856632	4.630322	4.023869	5.47564	5.593138	5.904724	5.220352	5.335364	4.897422	5.359748	6.390604	5.247447	5.649055	4.493758	5.150551	4.531975	5.6269	5.0645	4.869774	4.576684	5.105548	4.758993	4.379956
43026.75	24	5.202651	5.88248	6.856745	6.273692	6.287058	5.364756	6.056587	5.506983	5.354895	6.467588	6.185242	5.640094	5.797327	6.213631	6.230796	5.525149	5.480682	5.689895	5.280328	6.214235	5.599079	6.375614	5.111091	6.291498	5.526514	6.004417	5.134059	5.59749	5.333413	5.750615	5.875608	5.318526	6.077552	5.347988	6.416403	5.963506	5.776708	4.798677	6.376461	7.051489	7.000787	6.23223	5.937828	5.964284	6.498363	7.631209	6.317762	6.582048	5.514634	6.305847	5.969879	6.635445	6.205636	5.949605	5.797345	6.47296	5.794029	5.049372
43027.0833333333	32	5.735003	6.131396	7.283497	6.761042	6.522089	5.464709	6.466708	5.743154	5.779143	6.786703	6.626792	6.120724	5.993468	6.64729	6.94499	6.10202	5.86516	6.120655	5.626347	6.565884	6.029421	7.10637	5.827375	6.865518	5.933597	6.320267	5.320045	6.123643	5.895225	6.172066	6.115854	5.811868	6.645563	5.61089	6.621871	6.267769	6.109326	5.452137	6.332667	7.370706	7.632678	6.728817	6.364251	6.235199	7.047862	8.005428	6.658894	6.921816	5.818396	7.265418	6.572412	7.171163	6.698337	6.285868	5.84195	6.75232	5.88179	5.658658
43027.4166666667	40	6.391812	6.961362	8.371964	7.553723	7.24611	6.148596	7.065874	6.580407	6.250673	7.709041	7.716364	6.670811	6.562534	7.70923	7.543242	6.780089	6.890041	6.918138	6.181269	7.480469	6.796961	7.448935	6.359658	7.810478	6.459732	7.05584	6.206361	6.616862	6.214598	7.058034	6.784026	6.638413	7.056358	6.236185	7.585482	6.968373	7.138352	5.991343	7.465564	8.286757	8.33031	7.693533	7.023133	6.836456	7.465531	8.423131	7.276299	7.609658	6.331509	7.865136	7.070829	7.869833	7.13937	7.253986	6.507722	7.891367	6.899124	5.856905
43027.7951388889	49.0833333333333	7.17327	8.454837	9.885868	9.093083	8.582888	6.947356	7.937423	8.199048	7.50031	9.245707	8.857258	7.660255	7.835709	8.894939	8.788439	8.086473	7.782245	7.95357	6.95195	8.682133	8.29123	8.317878	7.273153	8.92483	7.874909	8.134118	6.832448	7.896236	7.189866	8.036738	7.929134	7.441197	8.138521	7.008558	9.02696	7.707728	8.04216	7.196204	8.725599	9.321517	9.797037	8.826261	8.349945	7.761486	8.902	11.48211	8.465752	8.765473	7.474908	8.826363	8.522792	9.410763	8.601331	8.401268	7.778842	8.908893	8.35207	6.91527
43028.0833333333	56	7.458969	8.475837	9.685599	9.24132	8.521133	7.230723	7.948026	7.8388	7.732855	8.805105	8.71553	7.307502	7.762937	9.09809	8.844651	8.062729	7.805004	8.399731	7.087822	8.530114	8.406381	8.730537	7.603631	9.186611	7.856208	7.94383	6.924907	7.84222	7.296259	8.069963	7.638892	7.806024	8.337943	7.148351	8.569002	7.567521	8.122926	6.873584	8.87513	9.310776	10.19813	8.470605	8.404291	7.683622	9.103461	9.92379	8.977708	9.077264	7.74819	8.58035	8.443993	8.884645	8.365988	8.521323	7.643367	9.114272	8.364537	7.123466
43028.4166666667	64	8.390648	9.555046	11.28435	9.78854	9.676741	8.14795	8.838624	9.140919	8.353865	9.868134	9.441675	8.273132	9.10764	10.16782	10.06246	9.247708	8.571714	9.245256	8.095158	9.151261	9.366745	9.555184	8.210084	9.518764	8.608859	9.369958	8.488131	9.094998	8.917646	8.974928	9.100525	8.456184	9.444007	7.712114	9.385947	8.290248	8.681649	7.798217	10.02566	10.20189	10.78004	8.91497	9.499821	8.974497	10.65926	12.38091	9.71069	9.819521	8.584804	9.839708	9.781407	10.63833	9.830626	10.04471	8.874923	10.35712	9.327354	8.311919
43028.7493055556	71.9833333333333	8.737272	9.925294	11.37128	10.90522	10.50878	8.871074	9.046646	9.601171	9.950679	10.75226	9.895418	8.258437	9.632376	10.64797	10.15853	9.782014	8.564581	9.254133	7.939703	10.52852	9.512443	10.67972	9.303368	10.92826	9.705389	10.00494	8.840109	9.926486	9.018445	9.765797	10.32766	9.803529	10.37146	8.646542	9.831314	8.626456	9.739462	8.855616	11.54157	11.52041	12.31683	10.64507	9.971816	9.268673	11.50299	12.79297	10.55458	10.83979	9.200755	10.82497	11.1354	10.78678	10.39748	10.44288	9.335022	11.66815	10.2538	9.107072
