Label: 171017 semi log dose response PRMT5i																																																											
Metric: Phase Object Confluence (Percent)																																																											
Cell Type: G523																																																											
Passage: 10																																																											
Notes: 																																																											
Analysis Job: 523 DR PRMT5i Patty 																																																											

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	D11	E11	F11	G11
43029.0833333333	80	8.852854	10.69342	12.54545	10.86177	11.33291	9.077765	9.415546	9.634674	10.72523	11.2735	10.68722	8.392634	9.815583	10.75396	10.56309	9.994334	8.728222	10.22795	7.978421	10.58509	10.0894	11.1396	9.267395	10.46082	10.0386	10.60578	8.913761	9.849914	8.889567	9.597216	10.76851	9.819486	9.976513	8.987501	9.792513	8.650167	10.03661	9.021933	12.19192	11.05653	11.75816	10.62255	10.32471	9.699795	11.80047	13.17128	11.6188	11.12095	9.646467	10.97756	11.44291	11.29737	11.09081	11.08245	9.682215	12.44142	10.9729	9.647055
43029.4166666667	88	9.537224	11.44267	12.58945	11.47975	11.8632	9.710951	10.00288	10.22465	10.83523	12.18907	11.10292	9.07122	9.864386	11.66323	11.02355	10.35405	9.022003	10.79475	8.444114	11.58538	10.76785	11.32811	9.589514	11.11084	10.7871	11.31851	9.497558	10.34177	9.146358	9.789611	11.1095	10.52954	10.55691	8.70757	10.11637	9.278518	10.99079	9.840727	13.25165	11.62786	12.8379	11.12366	11.08703	10.27931	13.02805	13.18948	12.05917	11.94775	10.70701	12.09408	12.0041	11.81128	11.81984	11.76534	10.75231	13.041	11.46975	10.4803
43029.7493055556	95.9833333333333	10.23532	11.85473	13.82685	11.75631	11.9968	9.896212	10.32949	10.89809	10.75054	12.21137	11.5225	9.371651	10.79962	12.37083	12.2162	10.86697	9.236658	11.22033	9.13337	11.52219	10.60953	11.64251	9.576149	10.99658	10.37857	11.51102	9.993713	10.15057	9.464746	10.4697	11.3887	10.7274	10.93983	9.150639	10.28958	9.814376	10.94888	9.887043	12.47878	12.11141	13.50026	11.37832	12.09981	10.35118	13.5155	13.0696	12.61106	12.47586	11.19871	13.31846	12.9354	12.88082	12.54904	12.89206	11.54675	13.36155	12.22407	9.79215
43030.0833333333	104	11.38197	14.18806	17.52711	13.77595	14.0481	12.62085	10.94596	13.12027	14.22478	14.63172	13.6325	11.39919	11.93744	14.57965	14.80572	12.13067	11.25072	13.6081	9.621566	13.34304	13.46976	13.22279	11.33762	13.37635	12.3558	13.75653	12.51796	11.12977	11.12891	11.4387	14.0899	12.62401	13.63968	10.97803	11.91144	11.04685	13.61979	11.91752	16.37775	13.83075	15.75859	13.73349	14.50203	11.73438	17.31272	15.58129	15.14093	15.21398	12.90506	15.95296	17.41493	14.6249	14.50369	15.9323	14.6665	15.77553	14.39058	12.37342
43030.4166666667	112	10.81206	14.49999	17.06052	13.59285	13.86246	12.20078	11.38608	12.67568	13.9456	14.29344	13.31681	11.60009	11.41613	14.53693	14.71822	11.46292	11.29093	12.7756	9.598184	13.23459	12.63316	13.26989	11.00077	12.80231	12.41377	13.7844	13.25951	11.16029	11.33717	12.21024	14.10968	12.54714	13.76019	10.51413	11.25591	10.62562	13.94184	12.04477	15.66007	13.38407	14.84881	13.63186	14.70079	12.13758	16.36484	15.21305	15.07666	14.93227	13.213	16.02903	16.75379	14.53616	15.60348	16.54628	14.98643	15.68081	15.21362	13.03423
43030.7493055556	119.983333333333	10.23874	14.58705	17.81738	13.0413	13.78134	11.62524	10.88336	12.7964	15.16599	13.89019	12.38656	10.8959	11.85182	14.08884	14.9848	11.36099	11.2377	12.71455	9.231528	13.22291	12.8595	13.19513	10.91025	12.87151	12.56234	14.33278	13.44814	10.94404	11.04313	11.42443	14.44713	13.08274	13.70396	9.996891	10.74436	9.969606	14.41853	12.33392	17.26091	13.79163	15.51745	13.34154	15.92064	12.7001	18.18693	16.35695	15.51418	15.30894	14.24407	17.57199	19.46191	15.05816	16.55302	17.87928	15.89101	18.05836	16.37516	13.44531
43031.0833333333	128	11.79941	15.63624	18.51416	14.0548	14.58309	12.40193	11.89911	13.85622	15.89574	15.36035	13.4992	11.66242	13.00769	15.42444	16.32267	12.53196	12.18919	13.67241	10.35726	14.64859	14.62911	14.32252	12.01204	13.70441	13.94618	16.04638	14.92222	12.03113	12.0441	12.36729	15.73024	14.51931	14.90623	10.83079	12.18945	10.45167	16.68426	14.17858	18.32561	14.92883	17.26972	15.01504	17.66761	13.7332	19.76167	17.34195	17.35059	16.92748	16.24418	20.02321	21.1187	17.42268	18.65799	20.00375	17.96403	19.36919	18.26129	14.94507
43031.4166666667	136	12.56509	17.65872	20.54528	15.00896	15.20396	13.03896	13.15439	14.86003	17.45339	16.2506	14.4004	12.40901	14.30769	16.21904	17.51404	13.2737	12.8229	14.15976	11.1837	15.80998	15.69109	15.26193	12.25956	14.07806	15.86	17.91875	16.20308	13.18931	13.2372	13.16891	17.55403	15.73279	17.09706	11.38584	13.13538	10.91883	18.82769	16.4473	20.30378	16.34031	19.1394	16.36569	19.53531	15.42628	21.90862	18.63597	19.16917	18.64915	18.24536	22.14248	23.13431	18.75856	20.54656	22.22197	19.97403	22.77761	20.87906	17.24302
43031.7493055556	143.983333333333	12.88297	17.77484	20.16851	15.22764	15.94535	13.36412	12.62976	15.54045	16.82452	16.21149	14.65821	12.89608	14.89343	17.05923	18.23816	13.43631	12.56263	14.50776	11.67449	16.18589	15.63629	14.99081	12.05767	14.73546	16.64774	19.18388	16.97994	14.1844	13.10222	13.33197	18.9967	16.61465	16.89503	11.45073	12.8694	11.27683	19.13779	17.4655	20.25565	15.85226	18.59173	16.83687	21.35365	15.90558	23.69062	17.72417	19.62776	18.88458	19.4088	22.90385	24.3699	19.6635	21.47878	22.98078	22.02475	23.34214	22.15073	18.89489
43032.0833333333	152	13.12375	18.77145	20.95992	16.08474	15.84233	13.99569	13.3511	15.60305	17.42673	16.23997	14.80714	13.14087	15.22589	17.29239	18.20691	13.62058	12.90135	14.38531	11.9023	16.90195	16.93699	15.42647	12.60805	14.9594	18.55327	19.66072	17.37293	14.39769	13.78673	13.79319	19.72784	17.60848	18.01275	11.52794	13.0921	11.70476	19.81108	18.67559	22.38842	16.29205	19.32071	17.51603	22.76962	16.46987	25.43069	19.0879	20.78196	19.46881	21.02063	24.83753	26.38945	20.81822	22.58282	23.7917	22.57113	24.89312	24.02076	20.00046
43032.4166666667	160	13.03738	18.97088	22.44104	16.90759	16.37542	14.86039	13.95009	16.86184	18.52206	17.11388	15.12605	13.41135	16.28461	19.28974	20.2992	14.31794	14.35243	14.90277	13.03409	18.71788	18.45686	16.5534	13.2556	15.71414	19.32084	22.45472	18.603	14.73872	14.56764	14.61597	21.12412	19.20201	20.0353	12.64306	13.94852	12.06427	22.42222	20.55468	23.33102	18.13246	21.09616	18.8925	25.32231	17.41687	27.09114	20.83698	22.85702	20.48122	23.44004	26.73819	29.2915	22.27044	24.18174	25.98029	23.90388	27.71298	26.64316	21.73545
43032.7493055556	167.983333333333	12.72116	20.09867	23.02553	17.25956	17.01177	15.1553	14.21949	17.45315	18.75939	17.34477	15.53928	13.9116	16.86966	19.1255	20.23241	14.01611	14.51315	15.18134	13.45826	19.44556	18.84244	16.24775	13.12448	15.42058	20.56994	22.8894	19.70466	15.49576	14.4162	14.7425	22.74506	20.9465	20.4769	12.50561	14.21108	11.79321	23.08949	22.07304	24.21989	17.92577	21.94119	18.9636	27.46225	18.93317	29.12088	20.58891	22.85116	20.86224	24.63255	28.82636	31.10967	23.13196	25.70805	27.07821	26.42827	29.60563	27.6921	22.79172
43033.0833333333	176	13.13951	20.0426	22.37319	17.6668	16.94366	15.82131	13.85497	18.0724	19.66949	17.45525	15.76022	13.82077	17.65587	19.49296	20.82395	14.07312	14.69921	15.30283	13.80602	19.48659	19.28976	17.42996	13.18499	15.282	20.94536	24.70178	22.01232	15.30809	14.01724	15.01136	23.22818	21.8435	21.14345	13.02722	14.01268	12.05398	23.63547	22.56762	25.5296	18.16776	22.33249	19.89861	29.01114	19.24443	30.84127	21.23216	23.47819	22.4317	26.0465	30.38463	32.28355	23.66377	26.64121	28.91803	28.25189	30.21289	29.17713	24.76867
43033.4166666667	184	13.47166	20.93603	23.32164	18.54003	17.25134	15.78324	14.8568	18.5135	20.80183	18.79395	16.33798	14.29397	18.26643	20.80793	21.55122	14.71905	15.26394	16.49125	14.08472	20.8487	20.54361	17.72419	14.60984	16.32921	23.19293	26.73871	23.78338	17.00956	15.68793	15.52945	25.09061	23.80205	23.26752	14.0689	14.88341	11.94466	26.60059	24.98385	28.57316	19.23775	23.95745	21.67264	31.98663	21.14326	34.10051	22.49168	25.83168	23.25633	28.55325	32.55535	35.91798	25.53094	28.71168	30.8784	30.65037	34.30687	32.67168	27.25917
43033.7493055556	191.983333333333	13.25688	21.62007	23.4102	18.83577	17.81063	15.94347	15.35027	19.54239	21.25508	18.63055	16.51468	14.69344	18.8848	21.2868	22.63914	14.8986	15.92999	17.33751	14.43259	22.13598	21.4504	18.09027	14.79222	17.17306	23.88412	29.17152	25.15761	17.24685	15.8456	15.0473	27.58354	25.08297	25.06025	14.36649	15.19426	12.59006	28.23461	27.59375	31.00017	20.05182	24.77312	23.39242	34.95971	23.23263	36.96645	24.06885	26.72857	24.16716	30.9854	35.61512	37.90098	25.89904	30.13237	31.80996	33.33259	37.06989	36.16362	29.3196
43034.0833333333	200	13.99605	21.42008	23.75813	18.60466	18.35918	16.45241	15.08563	19.65521	21.78788	18.2459	16.24615	14.46226	19.43452	22.08884	22.34977	15.16653	15.83787	16.79392	14.8801	21.29952	22.56017	17.84365	15.06676	17.23064	24.99563	30.50838	25.88293	17.33273	15.86635	15.86464	28.94521	26.18673	25.94126	14.89554	14.58062	13.02299	29.80745	28.15088	32.25406	21.02657	25.57499	23.55767	36.38914	24.01483	39.00888	23.83761	26.68756	24.64619	32.78102	37.71248	39.91443	26.89394	30.32675	32.57795	34.48013	38.43232	37.44719	30.99324
43034.4166666667	208	14.11241	22.35635	24.90815	18.44415	18.36718	16.07158	15.14582	20.18911	21.61163	18.62066	16.4613	13.80903	19.03518	21.84086	22.03543	14.9894	16.25571	16.69337	15.1478	22.39179	22.4906	17.26502	14.88721	16.80287	25.67656	30.84097	26.54709	16.87646	14.83	15.84364	30.21611	26.94829	27.18492	14.60204	14.39211	12.5196	30.92441	28.09433	32.98911	20.52292	26.01309	23.65286	38.24785	28.63491	40.15223	23.20649	26.84454	25.03357	34.17825	40.12164	41.56153	27.62917	31.0642	34.07698	36.12424	40.23708	39.33728	32.76136
43034.7493055556	215.983333333333	14.11282	23.82562	26.35049	18.94901	18.88411	17.2602	15.67827	21.28255	22.65936	18.69526	18.59693	14.62241	19.7462	24.27322	23.75437	15.5491	18.06815	17.31475	15.93061	24.26562	24.71596	18.0615	15.44797	18.12087	27.43629	34.15702	29.82698	18.04402	15.96779	15.96981	33.57757	29.62523	30.59804	15.86134	15.78815	13.25032	35.00378	30.60103	35.89799	21.31768	28.05922	25.42169	42.3452	25.70366	43.5555	25.80691	28.95281	27.30711	37.95623	44.21867	44.85247	30.29264	33.15404	38.61727	39.89072	45.30606	44.65643	36.22568
43035.0833333333	224	14.48949	24.04226	26.9229	19.12254	19.25222	16.59047	15.61688	20.51674	22.90278	18.91868	17.65998	14.84515	20.52852	23.60654	24.29105	15.44076	17.44125	18.00673	16.44716	24.86511	26.00452	17.73341	15.28226	17.97792	28.52657	34.80199	31.15652	19.09856	14.80866	16.45999	34.88789	31.00975	31.80309	16.16184	15.22907	13.63392	36.91472	32.36572	36.91069	21.58937	28.52773	25.42448	44.39867	27.72659	46.34795	23.86608	27.91378	27.66839	39.41195	44.84356	46.69474	30.66656	34.32345	39.31062	41.36632	47.16638	46.24361	37.51162
43035.4166666667	232	13.13723	25.17921	25.73842	19.18494	20.45891	17.54348	14.72582	22.60788	25.04056	20.93508	18.50537	15.55416	22.56127	25.088	24.92909	16.69288	16.46096	17.79861	16.17659	24.66674	24.38885	18.81621	16.64033	17.37589	32.17931	39.28157	35.75707	18.7811	15.83663	16.50211	36.29113	33.62617	33.85177	17.5154	15.67	13.56942	39.28059	36.33652	41.74281	21.75721	30.61952	27.62713	50.60579	28.1512	51.63118	23.8639	28.80414	27.90554	41.78251	50.17484	49.44236	31.04248	34.79622	40.1025	42.89154	53.19911	51.60159	44.15984
43035.7493055556	239.983333333333	15.03469	25.03214	27.44508	19.65075	19.93526	17.35867	16.35777	21.69518	23.09752	18.76846	18.40619	15.95036	22.50711	25.33704	27.99096	16.08554	17.39851	18.58575	17.40816	27.7558	27.44045	18.46266	16.43732	18.82951	32.10311	40.58077	35.66097	20.18576	16.43003	17.6191	39.87119	35.06971	35.85633	17.55605	16.16719	12.91834	41.06917	39.13418	42.11876	22.53464	32.82676	27.02773	50.93244	30.20331	52.68794	25.80546	29.59872	29.60697	46.5311	51.48168	53.15734	33.18214	37.24454	42.53735	47.89093	55.41506	54.52909	43.83021
43036.0833333333	248	11.05122	26.53033	27.29678	20.49795	21.99678	19.3374	12.05446	24.43623	25.14271	21.35752	19.43945	16.40787	22.98237	25.85623	27.59023	17.45741	18.80883	20.47191	17.41383	27.94139	28.53308	18.64098	17.36665	21.41656	29.82057	42.57912	37.31605	21.0771	19.00099	19.05607	41.03208	37.77248	35.12542	18.59753	16.75974	15.37786	40.9504	39.37574	43.8209	23.71213	32.68303	27.94466	49.57922	29.56358	55.05187	26.21852	29.88331	29.43525	43.25363	51.97229	54.2269	33.89176	38.04509	43.27802	47.54407	54.25367	53.92892	43.57092
43036.4166666667	256	10.30481	22.1316	24.31029	17.94108	17.95614	15.9495	10.88141	21.03353	22.81433	19.4453	17.54671	14.1744	22.11476	23.80101	27.41806	14.47721	15.76106	16.89719	14.39021	25.29758	27.95614	17.27386	15.88029	18.20105	30.62716	42.90237	37.48541	18.21761	16.35147	16.91403	40.68034	38.22295	36.17892	16.70939	15.35474	12.04429	42.53978	42.05159	45.24629	22.62952	32.6019	28.10533	53.2507	30.36674	56.44022	25.50961	27.90076	29.31405	45.91102	53.56035	55.38603	32.76468	37.15122	44.43922	49.05274	58.33831	55.73483	44.75583
43036.7493055556	263.983333333333	11.5357	23.98059	26.14989	19.13097	19.59385	16.92762	11.77035	22.59962	24.78753	20.689	18.4711	14.51089	23.9675	25.55855	28.10188	16.33477	16.23026	18.13481	16.71005	28.45445	28.84194	17.75613	15.69741	20.25971	32.54679	45.45277	40.33524	19.49935	17.20782	17.60202	43.89492	40.40356	38.43544	17.41602	17.12331	13.13413	45.96525	43.92884	48.59366	22.91784	33.94826	30.09114	58.27193	32.10974	59.58787	25.34562	30.67672	30.67276	49.36578	57.94637	58.41652	35.25993	38.8356	45.22361	52.51714	61.663	60.07042	48.69309
43037.0833333333	272	11.96502	25.25758	26.86576	19.12624	19.20723	17.26713	11.90553	22.52186	25.72623	20.12722	18.01277	14.78816	23.96083	25.50282	28.56807	16.12882	16.39704	17.8674	17.47589	29.88252	29.01779	17.6424	15.66524	19.95676	33.2187	48.29097	42.67564	19.56142	16.93725	17.31292	45.77269	42.96543	39.97271	17.38107	16.67154	13.3865	47.57043	46.52877	50.60728	22.84377	35.14801	30.86089	60.37826	34.35319	62.02396	26.35225	31.19209	30.6868	53.06276	60.74426	62.86342	36.26761	39.40304	45.69205	54.51465	65.20782	63.60794	52.10291
43037.4166666667	280	12.31303	25.40464	26.51642	18.78153	18.50695	17.45348	11.61053	23.47447	25.40173	20.85836	18.37283	14.25438	24.21224	24.98599	28.59941	16.7155	15.83085	18.45883	17.75093	29.1943	30.63693	17.78309	16.56585	19.32269	35.03568	50.67654	44.94045	19.97591	16.70068	17.77245	48.01703	45.11984	41.99992	16.90625	16.25602	13.57322	50.5676	49.715	52.97612	23.1183	36.19814	31.55086	64.05148	35.25404	64.54962	26.44382	32.22623	31.04683	54.8651	63.16952	65.83408	37.41344	39.61932	47.20058	55.9998	69.39228	65.58907	54.18961
43037.7493055556	287.983333333333	12.58123	25.19476	26.22478	18.94312	17.91294	17.42553	12.13101	23.52607	24.81703	21.03203	17.90313	14.21419	23.93372	24.62759	28.80219	16.39276	15.61956	17.97676	17.66934	30.16074	30.95786	16.95186	16.19746	19.21331	35.67134	52.93744	46.14661	19.61746	17.16013	17.13079	49.29631	45.64496	42.96793	16.66877	16.96298	12.54338	52.408	51.34068	54.39934	23.43361	37.46467	32.35991	66.97393	36.45502	67.30026	26.06118	31.42184	30.96342	57.87198	64.56503	67.68237	38.54384	41.46902	48.59855	57.67064	72.05774	69.45634	56.46487
43038.0833333333	296	12.98427	25.51076	26.75158	18.99204	18.75544	17.86662	12.73215	24.18013	25.55729	22.0113	18.064	14.48006	24.66507	25.81221	29.67962	17.0327	14.92251	18.0639	17.91689	30.89108	30.95083	17.2347	16.09834	19.10584	36.85497	55.92369	48.61462	20.31193	17.82688	17.54664	52.03064	48.58308	45.80209	17.32296	17.19247	13.17337	54.81155	54.61607	57.09533	23.2955	37.75857	33.31358	70.34427	38.26332	70.05072	26.68815	32.83318	32.03701	59.92381	67.97832	70.39964	40.2539	43.08625	51.02402	61.12333	75.34827	72.362	59.76141
43038.4166666667	304	12.96809	26.69414	27.33878	19.02948	19.49633	17.82956	12.67949	23.92856	25.48795	21.92093	17.72795	15.2787	26.38295	26.44899	30.00611	16.8051	15.15026	18.00472	17.80582	31.66858	32.01382	17.19867	16.80102	18.73648	39.15095	57.54443	51.66991	20.68475	18.10067	16.98606	54.16378	51.636	48.80255	17.26264	18.3096	13.28203	57.48174	57.43687	60.39923	23.15703	40.52967	34.47407	74.08567	40.81641	73.06784	27.62789	32.68754	32.01117	62.32476	70.70094	72.65211	40.92458	45.45728	53.19464	63.1645	78.97415	75.73985	63.49984
43038.7798611111	312.716666666667	13.62247	26.79938	26.92161	19.80493	19.10949	18.52678	12.509	24.32569	25.3221	22.06767	18.40949	14.9727	25.82687	26.81361	31.31056	16.59015	16.03707	18.37699	18.20694	32.22247	32.6875	17.7934	17.04669	18.36563	40.73496	60.99381	55.19978	20.51239	18.79766	17.31992	57.85648	55.41101	51.8838	17.98593	18.95764	12.73292	60.49216	60.82773	62.90937	25.30996	41.1645	35.77145	76.97993	40.93406	76.20753	28.64711	32.66264	32.06181	65.80648	74.3231	76.53177	42.71408	47.53236	56.44806	65.56599	82.62803	79.19785	67.74775
43039.0833333333	320	13.16496	26.06722	26.28631	19.51196	18.82557	17.78843	12.14688	23.3258	24.93603	20.96059	18.25956	14.50091	25.48685	26.41576	30.77592	16.59477	16.78109	18.16573	18.91982	31.58617	32.43793	18.10412	16.32876	17.7575	40.56892	61.48125	54.21738	19.78065	17.40512	17.29341	58.493	55.91921	51.91879	17.33826	17.79214	12.59645	60.88926	62.23365	62.56712	24.75523	40.55965	33.98634	78.39508	40.68271	76.99728	27.77349	32.86817	31.48592	67.52457	74.61258	76.74417	42.93082	47.23026	54.84248	67.25259	84.41414	80.16141	68.81734
43039.4166666667	328	13.68346	28.40467	27.52108	19.97264	19.60412	18.07799	12.69431	24.08876	26.03662	22.42286	18.55698	14.75359	26.8101	27.97182	31.27811	16.88553	17.0906	18.45703	19.16173	34.01941	33.50037	18.40961	16.23679	18.56897	43.63726	65.0522	57.90424	20.87664	17.76399	17.91074	62.06219	59.12933	55.56713	18.10662	18.25022	12.67026	64.75023	65.9439	65.15502	25.24066	43.43047	36.32804	81.75038	41.39387	80.09808	30.18574	34.45328	32.87952	69.96764	77.45993	78.86143	45.31545	48.68719	58.51151	69.4899	87.7002	82.93678	72.7286
